id,title,title_py,title_en,product_info,product_info_en,group_id,group_session_id,category_id,cur_category_name_en,cur_category_name,hall_id,cur_hall_name,area_id,area,area_en,cur_area_name,logo,bg_cover,pos_no,addr,desc,sort,delete_time,create_time,update_time,hsort
42960,前沿生物药业（南京）股份有限公司,qyswyynjgfyxgs,Frontier Biotechnologies Inc.,[],[],11,24,92,Contract Services,合同定制,194,E7——E7,,中国大陆,China Mainland,,,,E7G10,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,前沿生物药业（南京）股份有限公司
44202,泉州富图恩生物技术有限公司,qzfteswjsyxgs,"Quanzhou Fortune Biopharma Co.,Ltd.",[],[],11,24,95,Natural Extracts,天然提取物,197,E4——E4,,中国大陆,China Mainland,,,,E4A09,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,泉州富图恩生物技术有限公司
43706,衢州环新氟材料有限公司,qzhxfclyxgs,"QUZHOU HUANXIN FLUORO MATERIAL CO.,LTD",[],[],11,24,91,Pharma Ingredients,制药原料,206,E9——E9,,中国大陆,China Mainland,,,,E9A05,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,衢州环新氟材料有限公司
42329,衢州建华南杭药业有限公司,qzjhnhyyyxgs,"JH Nanhang Life Sciences Co.,Ltd",[],[],11,24,93,Pharma Excipients,药用辅料,198,E3——E3,,中国大陆,China Mainland,,,,E3F32,,,0,,2024-05-16 20:29:15,2024-05-16 20:29:15,衢州建华南杭药业有限公司
43663,衢州市九洲化工有限公司,qzsjzhgyxgs,"QUZHOU JIUZHOU CHEMICAL INDUSTRY CO.,LTD.",[],[],11,24,91,Pharma Ingredients,制药原料,206,E9——E9,,中国大陆,China Mainland,,,,E9C09,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,衢州市九洲化工有限公司
44205,杞滋堂（宁夏）健康产业有限公司,qztnxjkcyyxgs,QIZITOWN,[],[],11,24,95,Natural Extracts,天然提取物,196,E5——E5,,中国大陆,China Mainland,,,,E5P02-A9,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,杞滋堂（宁夏）健康产业有限公司
42655,衢州伟荣药化股份有限公司,qzwryhgfyxgs,"Quzhou Weirong Pharmaceutical & Chemical Co., Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,195,E6——E6,,中国大陆,China Mainland,,,,E6P06,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,衢州伟荣药化股份有限公司
43231,润城生物科技（厦门）有限公司,rcswkjxmyxgs,"Xiamen Runcheng Pharma Group Co.,Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,178,W9——W9,,中国大陆,China Mainland,,,,W9C08,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,润城生物科技（厦门）有限公司
42666,日出实业集团,rcsyjt,Sunrise Group,[],[],11,24,91,Pharma Ingredients,制药原料,185,W2——W2,,中国大陆,China Mainland,,,,W2A32,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,日出实业集团
43184,如东县联丰化工有限公司,rdxlfhgyxgs,"RUDONG LIANFENG CHEMICAL INDUSTRY CO.,LTD",[],[],11,24,91,Pharma Ingredients,制药原料,178,W9——W9,,中国大陆,China Mainland,,,,W9B29,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,如东县联丰化工有限公司
